Hypseus SDL2 Keycodes
---------------------
https://wiki.libsdl.org/SDLKeycodeLookup

Decimal Value	SDL_Keycode Constant
1073741908	SDLK_KP_DIVIDE
1073741909	SDLK_KP_MULTIPLY
1073741910	SDLK_KP_MINUS
1073741911	SDLK_KP_PLUS
1073741912	SDLK_KP_ENTER
1073741913	SDLK_KP_1
1073741914	SDLK_KP_2
1073741915	SDLK_KP_3
1073741916	SDLK_KP_4
1073741917	SDLK_KP_5
1073741918	SDLK_KP_6
1073741919	SDLK_KP_7
1073741920	SDLK_KP_8
1073741921	SDLK_KP_9
1073741922	SDLK_KP_0
1073741923	SDLK_KP_PERIOD
1073741925	SDLK_APPLICATION
1073741926	SDLK_POWER
1073741927	SDLK_KP_EQUALS
1073741928	SDLK_F13
1073741929	SDLK_F14
1073741930	SDLK_F15
1073741931	SDLK_F16
1073741932	SDLK_F17
1073741933	SDLK_F18
1073741934	SDLK_F19
1073741935	SDLK_F20
1073741936	SDLK_F21
1073741937	SDLK_F22
1073741938	SDLK_F23
1073741939	SDLK_F24
1073741940	SDLK_EXECUTE
1073741941	SDLK_HELP
1073741942	SDLK_MENU
1073741943	SDLK_SELECT
1073741944	SDLK_STOP
1073741945	SDLK_AGAIN
1073741946	SDLK_UNDO
1073741947	SDLK_CUT
1073741948	SDLK_COPY
1073741949	SDLK_PASTE
1073741950	SDLK_FIND
1073741951	SDLK_MUTE
1073741952	SDLK_VOLUMEUP
1073741953	SDLK_VOLUMEDOWN
1073741957	SDLK_KP_COMMA
1073741958	SDLK_KP_EQUALSAS400
1073741977	SDLK_ALTERASE
1073741978	SDLK_SYSREQ
1073741979	SDLK_CANCEL
1073741980	SDLK_CLEAR
1073741981	SDLK_PRIOR
1073741982	SDLK_RETURN2
1073741983	SDLK_SEPARATOR
1073741984	SDLK_OUT
1073741985	SDLK_OPER
1073741986	SDLK_CLEARAGAIN
1073741987	SDLK_CRSEL
1073741988	SDLK_EXSEL
1073742000	SDLK_KP_00
1073742001	SDLK_KP_000
1073742002	SDLK_THOUSANDSSEPARATOR
1073742003	SDLK_DECIMALSEPARATOR
1073742004	SDLK_CURRENCYUNIT
1073742005	SDLK_CURRENCYSUBUNIT
1073742006	SDLK_KP_LEFTPAREN
1073742007	SDLK_KP_RIGHTPAREN
1073742008	SDLK_KP_LEFTBRACE
1073742009	SDLK_KP_RIGHTBRACE
1073742010	SDLK_KP_TAB
1073742011	SDLK_KP_BACKSPACE
1073742012	SDLK_KP_A
1073742013	SDLK_KP_B
1073742014	SDLK_KP_C
1073742015	SDLK_KP_D
1073742016	SDLK_KP_E
1073742017	SDLK_KP_F
1073742018	SDLK_KP_XOR
1073742019	SDLK_KP_POWER
1073742020	SDLK_KP_PERCENT
1073742021	SDLK_KP_LESS
1073742022	SDLK_KP_GREATER
1073742023	SDLK_KP_AMPERSAND
1073742024	SDLK_KP_DBLAMPERSAND
1073742025	SDLK_KP_VERTICALBAR
1073742026	SDLK_KP_DBLVERTICALBAR
1073742027	SDLK_KP_COLON
1073742028	SDLK_KP_HASH
1073742029	SDLK_KP_SPACE
1073742030	SDLK_KP_AT
1073742031	SDLK_KP_EXCLAM
1073742032	SDLK_KP_MEMSTORE
1073742033	SDLK_KP_MEMRECALL
1073742034	SDLK_KP_MEMCLEAR
1073742035	SDLK_KP_MEMADD
1073742036	SDLK_KP_MEMSUBTRACT
1073742037	SDLK_KP_MEMMULTIPLY
1073742038	SDLK_KP_MEMDIVIDE
1073742039	SDLK_KP_PLUSMINUS
1073742040	SDLK_KP_CLEAR
1073742041	SDLK_KP_CLEARENTRY
1073742042	SDLK_KP_BINARY
1073742043	SDLK_KP_OCTAL
1073742044	SDLK_KP_DECIMAL
1073742045	SDLK_KP_HEXADECIMAL
1073742048	SDLK_LCTRL
1073742049	SDLK_LSHIFT
1073742050	SDLK_LALT
1073742051	SDLK_LGUI
1073742052	SDLK_RCTRL
1073742053	SDLK_RSHIFT
1073742054	SDLK_RALT
1073742055	SDLK_RGUI
1073742081	SDLK_MODE
1073742082	SDLK_AUDIONEXT
1073742083	SDLK_AUDIOPREV
1073742084	SDLK_AUDIOSTOP
1073742085	SDLK_AUDIOPLAY
1073742086	SDLK_AUDIOMUTE
1073742087	SDLK_MEDIASELECT
1073742088	SDLK_WWW
1073742089	SDLK_MAIL
1073742090	SDLK_CALCULATOR
1073742091	SDLK_COMPUTER
1073742092	SDLK_AC_SEARCH
1073742093	SDLK_AC_HOME
1073742094	SDLK_AC_BACK
1073742095	SDLK_AC_FORWARD
1073742096	SDLK_AC_STOP
1073742097	SDLK_AC_REFRESH
1073742098	SDLK_AC_BOOKMARKS
1073742099	SDLK_BRIGHTNESSDOWN
1073742100	SDLK_BRIGHTNESSUP
1073742101	SDLK_DISPLAYSWITCH
1073742102	SDLK_KBDILLUMTOGGLE
1073742103	SDLK_KBDILLUMDOWN
1073742104	SDLK_KBDILLUMUP
1073742105	SDLK_EJECT
1073742106	SDLK_SLEEP

<END>
